,id,name,latitude,tvperc,dma,dma1,cableperc,adsperc,longitude,state,location
0,662,dma:,32.404348,89.2,662,"Abilene-Sweetwater, TX",38.2,51.8,-99.8293625,TX,Abilene-Sweetwater TX
2,532,dma:,43.049266,92.1,532,"Albany-Schenectady-Troy, NY",75.3,17.2,-73.8438695,NY,Albany-Schenectady-Troy NY
1,525,dma:,31.5279975,92.7,525,"Albany, GA",50.9,42.6,-83.7121235,GA,Albany GA
3,790,dma:,34.4952755,83.3,790,"Albuquerque-Santa Fe, NM",38.9,44.8,-106.526644,NM,Albuquerque-Santa Fe NM
4,644,dma:,31.322628,92.4,644,"Alexandria, LA",54.4,38.8,-92.61795,LA,Alexandria LA
5,583,dma:,44.856283,90.3,583,"Alpena, MI",58,32.6,-83.5733565,MI,Alpena MI
6,634,dma:,35.4797235,91,634,"Amarillo, TX",44.6,47,-102.063253,TX,Amarillo TX
7,524,dma:,33.9253975,93.9,524,"Atlanta, GA",55.7,38.7,-84.3335135,GA,Atlanta GA
,NA,dma:,NA,NA,NA,,,,,,Anchorage AK
8,520,dma:,33.2388275,89.8,520,"Augusta, GA",56.3,34.1,-81.9064505,GA,Augusta GA
9,635,dma:,30.331427,87.9,635,"Austin, TX",61.6,27.3,-98.0272995,TX,Austin TX
10,800,dma:,35.291006,85.7,800,"Bakersfield, CA",50.5,35.8,-119.05459,CA,Bakersfield CA
11,512,dma:,38.972515,95.1,512,"Baltimore, MD",74.1,21.6,-76.506469,MD,Baltimore MD
12,537,dma:,45.3356845,84.6,537,"Bangor, ME",40.5,44.5,-68.751059,ME,Bangor ME
13,716,dma:,30.4278165,94.2,716,"Baton Rouge, LA",69.4,25.5,-91.140946,LA,Baton Rouge LA
14,692,dma:,30.3724315,92.1,692,"Beaumont-Port Arthur, TX",50.4,42.2,-94.1330155,TX,Beaumont-Port Arthur TX
15,821,dma:,44.001647,82.6,821,"Bend, OR",60.5,22.8,-120.9495205,OR,Bend OR
16,756,dma:,45.8919365,85.5,756,"Billings, MT",51.9,34.2,-108.195493,MT,"Billings, MT"
17,746,dma:,30.651123,92.3,746,"Biloxi-Gulfport, MS",68.1,25.2,-88.868398,MS,Biloxi-Gulfport MS
18,502,dma:,42.2963485,91.4,502,"Binghamton, NY",72.8,19.3,-75.4931575,NY,Binghamton NY
19,630,dma:,33.5031,93.4,630,"Birmingham (Anniston and Tuscaloosa), AL",48.7,45.3,-86.869635,AL,Birmingham AL
20,559,dma:,37.6001745,95.7,559,"Bluefield-Beckley-Oak Hill, WV",63.1,33.4,-80.978172,WV,Bluefield-Beckley-Oak Hill WV
21,757,dma:,43.632029,70.7,757,"Boise, ID",24.7,46.2,-117.0232835,ID,Boise ID
22,506,dma:,42.501023,98.8,506,"Boston, MA (Manchester, NH)",87.2,12.8,-71.460493,HI,Boston MA-Manchester NH
23,736,dma:,37.0341725,90.8,736,"Bowling Green, KY",71,20.6,-85.99226,KY,Bowling Green KY
24,514,dma:,42.42369,92.3,514,"Buffalo, NY",62.2,30.7,-78.6800405,NY,Buffalo NY
25,523,dma:,44.071301,90.8,523,"Burlington, VT-Plattsburgh, NY",52.5,38.7,-73.0368725,NY,Burlington VT-Plattsburgh NY
26,754,dma:,45.979098,81.9,754,"Butte-Bozeman, MT",42.5,39.6,-112.3609785,MT,Butte-Bozeman MT
27,767,dma:,43.412869,91.3,767,"Casper-Riverton, WY",60.3,31.6,-107.4728085,WY,Casper-Riverton WY
